action
harvested a garden
reorganized the closet
alphabetized the bookshelf
painted a portrait
painted a mural
cleaned the garage
cleaned the attic
cleaned the basement
cleaned the shed
cleaned the windows
ironed the clothes
washed the car
washed the dog
washed the floors
repotted the plants
compiled the spreadsheet
visited their family
filled out the application
refinanced the mortgage
baked a cake
donated blood
watered the plants
took a walk in the park
went to the gym
went to the beach
went to the cinema
went to the museum
went to the zoo
went to a concert
went to a festival
went to an Indian restaurant
went to a Chinese restaurant
went to a Thai restaurant
went to a French restaurant
went to a Mexican restaurant
mowed the lawn
planted a tree
repaired the bike
sold their car
bought a new car
received a promotion
got a raise
got a birthday gift
went fishing
went camping
took a ferry
went hiking
received a letter
wrote a letter
sent a postcard
sent a package
won a prize
won a contest
won the lottery
cooked cheesecake
cooked lasagna
donated clothes
donated toys
watched a documentary
watched a movie
watched TV
arrived in Germany
arrived in France
arrived in Italy
arrived in Spain
arrived in the UK
arrived in the US
arrived in Canada
took a taxi
took a bus
took a train
took a plane
took a boat
called a friend
got surgery
got a haircut
got a massage
got a manicure
built a desktop computer
bought a new phone
purchased a new laptop
ran a marathon
participated in a triathlon
played beer pong
played chess
renovated the kitchen
renovated the bathroom
had a barbecue
had a picnic
threw a party
attended a wedding
attended a funeral
attended a graduation
visited a new city
visited a new country
moved to a new city
took an exam
passed an exam
left for vacation
returned from vacation
