sentence,hours_delta,date_idx_start,date_idx_end,reference_type
I stayed abroad for six months,4320,20,30,month
I studied for six weeks to prepare for the exam,1008,14,23,week
Training requires six months of preparation,4320,18,28,month
They debated for six hours before deciding,6,17,26,hour
The overall planning required two weeks of hard work from the whole team,336,30,39,week
I stayed abroad for a month,720,20,27,month
I'll be away for six months,4320,17,27,month
"The hike took us four hours, but the view was worth it",4,17,27,hour
"The experiment ran for a day, producing significant results",24,23,28,day
I stayed abroad for four days,96,20,29,day
"I was away for a year, and a lot changed in that time",8760,15,21,year
Training requires two years of preparation,17520,18,27,year
I studied for five days to prepare for the exam,120,14,23,day
They discussed the issue for an hour before voting on it,1,29,36,hour
They postponed the event for six months,4320,29,39,month
She practiced for six years before the big performance,52560,18,27,year
The negotiations dragged on for four days before a deal was reached,96,32,41,day
The negotiations dragged on for three years before a deal was reached,26280,32,43,year
"The experiment ran for two years, producing significant results",17520,23,32,year
The negotiations dragged on for six months before a deal was reached,4320,32,42,month
They postponed the event for six days,144,29,37,day
I'll be away for an hour,1,17,24,hour
I'll be away for a year,8760,17,23,year
The negotiations dragged on for five days before a deal was reached,120,32,41,day
"He was gone for six hours, but it felt like forever",6,16,25,hour
I stayed abroad for three months,2160,20,32,month
They postponed the event for a year,8760,29,35,year
They postponed the event for two days,48,29,37,day
Construction took six days to complete,144,18,26,day
"Her recovery took two days, but she’s doing much better now",48,18,26,day
They debated for three hours before deciding,3,17,28,hour
"We explored the city for two hours, visiting all the famous spots",2,25,34,hour
The negotiations dragged on for two years before a deal was reached,17520,32,41,year
We talked for two hours before heading home,2,14,23,hour
I stayed abroad for three days,72,20,30,day
She practiced for a month before the big performance,720,18,25,month
We talked for six hours before heading home,6,14,23,hour
"The hike took us six hours, but the view was worth it",6,17,26,hour
"We explored the city for an hour, visiting all the famous spots",1,25,32,hour
We talked for eight hours before heading home,8,14,25,hour
I'll be away for three hours,3,17,28,hour
Training requires three days of preparation,72,18,28,day
I stayed abroad for two weeks,336,20,29,week
The negotiations dragged on for a week before a deal was reached,168,32,38,week
"For an hour, the storm raged on",1,4,11,hour
I'll be away for six hours,6,17,26,hour
The overall planning required a week of hard work from the whole team,168,30,36,week
Construction took two weeks to complete,336,18,27,week
They postponed the event for four hours,4,29,39,hour
"The experiment ran for two days, producing significant results",48,23,31,day
Training requires six weeks of preparation,1008,18,27,week
"I was away for a month, and a lot changed in that time",720,15,22,month
"The experiment ran for an hour, producing significant results",1,23,30,hour
Construction took a week to complete,168,18,24,week
They postponed the event for five days,120,29,38,day
"I was away for two hours, and a lot changed in that time",2,15,24,hour
It took me two hours to make it through the first chapter,2,11,20,hour
It took me six hours to make it through the first chapter,6,11,20,hour
