name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_date_str,correct_answer
Alice,2019-01-16,Laura,2019-01-13,Ian,2019-01-09,Alice purchased a new laptop on the 16th of January. Laura purchased a new laptop on the 13th of January. Ian purchased a new laptop on the 9th of January. The first person that purchased a new laptop was,2019-01-09,9th of January,Ian
Hope,2019-01-29,Brandon,2019-02-23,Dean,2019-01-02,Hope sent a package on the 29th of January. Brandon sent a package on the 23rd of February. Dean sent a package on the 2nd of January. The first person that sent a package was,2019-01-02,2nd of January,Dean
Alice,2019-01-24,Steve,2019-01-01,Fred,2019-01-18,Alice donated clothes on the 24th of January. Steve donated clothes on the 1st of January. Fred donated clothes on the 18th of January. The first person that donated clothes was,2019-01-01,1st of January,Steve
Hope,2019-02-10,Frank,2019-01-23,Steve,2019-01-10,Hope baked a cake on the 10th of February. Frank baked a cake on the 23rd of January. Steve baked a cake on the 10th of January. The first person that baked a cake was,2019-01-10,10th of January,Steve
Jerry,2019-01-13,Richard,2019-01-12,Emily,2019-02-27,Jerry washed the floors on the 13th of January. Richard washed the floors on the 12th of January. Emily washed the floors on the 27th of February. The first person that washed the floors was,2019-01-12,12th of January,Richard
Henry,2019-01-25,John,2019-01-21,Kyle,2019-02-02,Henry took a boat on the 25th of January. John took a boat on the 21st of January. Kyle took a boat on the 2nd of February. The first person that took a boat was,2019-01-21,21st of January,John
Matt,2019-01-14,Leon,2019-02-20,Jack,2019-01-19,Matt harvested a garden on the 14th of January. Leon harvested a garden on the 20th of February. Jack harvested a garden on the 19th of January. The first person that harvested a garden was,2019-01-14,14th of January,Matt
Bob,2019-01-10,Henry,2019-01-25,Ian,2019-02-12,Bob won a contest on the 10th of January. Henry won a contest on the 25th of January. Ian won a contest on the 12th of February. The first person that won a contest was,2019-01-10,10th of January,Bob
Alex,2019-01-19,Maria,2019-01-27,Bob,2019-01-10,Alex washed the floors on the 19th of January. Maria washed the floors on the 27th of January. Bob washed the floors on the 10th of January. The first person that washed the floors was,2019-01-10,10th of January,Bob
Bob,2019-01-25,Hunter,2019-01-10,Walker,2019-02-02,Bob got a massage on the 25th of January. Hunter got a massage on the 10th of January. Walker got a massage on the 2nd of February. The first person that got a massage was,2019-01-10,10th of January,Hunter
Frank,2019-02-08,Tyler,2019-01-25,Matt,2019-02-02,Frank arrived in the UK on the 8th of February. Tyler arrived in the UK on the 25th of January. Matt arrived in the UK on the 2nd of February. The first person that arrived in the UK was,2019-01-25,25th of January,Tyler
Mark,2019-02-03,Grant,2019-01-14,Laura,2019-01-13,Mark participated in a triathlon on the 3rd of February. Grant participated in a triathlon on the 14th of January. Laura participated in a triathlon on the 13th of January. The first person that participated in a triathlon was,2019-01-13,13th of January,Laura
Ian,2019-01-27,Steve,2019-01-01,Robert,2019-01-18,Ian played beer pong on the 27th of January. Steve played beer pong on the 1st of January. Robert played beer pong on the 18th of January. The first person that played beer pong was,2019-01-01,1st of January,Steve
Charlie,2019-01-07,Jason,2019-02-28,Dallas,2019-02-11,Charlie arrived in the US on the 7th of January. Jason arrived in the US on the 28th of February. Dallas arrived in the US on the 11th of February. The first person that arrived in the US was,2019-01-07,7th of January,Charlie
Dean,2019-01-23,Matt,2019-01-07,Steve,2019-01-01,Dean mowed the lawn on the 23rd of January. Matt mowed the lawn on the 7th of January. Steve mowed the lawn on the 1st of January. The first person that mowed the lawn was,2019-01-01,1st of January,Steve
Marco,2019-01-10,Jerry,2019-01-13,Jason,2019-01-11,Marco played chess on the 10th of January. Jerry played chess on the 13th of January. Jason played chess on the 11th of January. The first person that played chess was,2019-01-10,10th of January,Marco
Kevin,2019-01-04,Leon,2019-01-14,Jerry,2019-02-15,Kevin repaired the bike on the 4th of January. Leon repaired the bike on the 14th of January. Jerry repaired the bike on the 15th of February. The first person that repaired the bike was,2019-01-04,4th of January,Kevin
