name_1,date_1,context,correct_date,correct_date_str,correct_answer
Mark,2019-01-15,Mark cleaned the shed on the 15th of January. The first person that cleaned the shed was,2019-01-15,15th of January,Mark
Andrew,2019-01-25,Andrew got a birthday gift on the 25th of January. The first person that got a birthday gift was,2019-01-25,25th of January,Andrew
Grant,2019-02-03,Grant went fishing on the 3rd of February. The first person that went fishing was,2019-02-03,3rd of February,Grant
Andrew,2019-02-05,Andrew donated toys on the 5th of February. The first person that donated toys was,2019-02-05,5th of February,Andrew
Kevin,2019-02-16,Kevin arrived in Germany on the 16th of February. The first person that arrived in Germany was,2019-02-16,16th of February,Kevin
John,2019-02-27,John planted a tree on the 27th of February. The first person that planted a tree was,2019-02-27,27th of February,John
Maria,2019-02-11,Maria cleaned the basement on the 11th of February. The first person that cleaned the basement was,2019-02-11,11th of February,Maria
Maria,2019-01-25,Maria watered the plants on the 25th of January. The first person that watered the plants was,2019-01-25,25th of January,Maria
Michael,2019-02-07,Michael alphabetized the bookshelf on the 7th of February. The first person that alphabetized the bookshelf was,2019-02-07,7th of February,Michael
Bob,2019-01-08,Bob repaired the bike on the 8th of January. The first person that repaired the bike was,2019-01-08,8th of January,Bob
Tyler,2019-01-26,Tyler planted a tree on the 26th of January. The first person that planted a tree was,2019-01-26,26th of January,Tyler
Blake,2019-02-09,Blake arrived in Italy on the 9th of February. The first person that arrived in Italy was,2019-02-09,9th of February,Blake
Connor,2019-01-19,Connor ran a marathon on the 19th of January. The first person that ran a marathon was,2019-01-19,19th of January,Connor
William,2019-02-10,William renovated the kitchen on the 10th of February. The first person that renovated the kitchen was,2019-02-10,10th of February,William
Hope,2019-01-11,Hope moved to a new city on the 11th of January. The first person that moved to a new city was,2019-01-11,11th of January,Hope
Hunter,2019-01-04,Hunter got surgery on the 4th of January. The first person that got surgery was,2019-01-04,4th of January,Hunter
Alice,2019-02-07,Alice took a boat on the 7th of February. The first person that took a boat was,2019-02-07,7th of February,Alice
Hunter,2019-01-28,Hunter attended a funeral on the 28th of January. The first person that attended a funeral was,2019-01-28,28th of January,Hunter
Jack,2019-02-14,Jack threw a party on the 14th of February. The first person that threw a party was,2019-02-14,14th of February,Jack
Grant,2019-02-19,Grant watched a documentary on the 19th of February. The first person that watched a documentary was,2019-02-19,19th of February,Grant
