time,time_str,delta,context,correct_time,correct_hour,correct_minute,correct_answer
09:00:00,9:00,0 days 01:00:00,Let's do some time of day math. 1 hour after 9:00 is,2025-05-19 10:00:00,10,0,10:00
18:00:00,18:00,0 days 03:30:00,Let's do some time of day math. 3 hours and 30 minutes after 18:00 is,2025-05-19 21:30:00,21,30,21:30
02:30:00,2:30,-1 days +20:00:00,Let's do some time of day math. 4 hours before 2:30 is,2025-05-18 22:30:00,22,30,22:30
16:15:00,16:15,0 days 10:30:00,Let's do some time of day math. 10 hours and 30 minutes after 16:15 is,2025-05-20 02:45:00,2,45,2:45
19:15:00,19:15,0 days 00:45:00,Let's do some time of day math. 45 minutes after 19:15 is,2025-05-19 20:00:00,20,0,20:00
18:30:00,18:30,0 days 01:15:00,Let's do some time of day math. 1 hour and 15 minutes after 18:30 is,2025-05-19 19:45:00,19,45,19:45
11:15:00,11:15,0 days 05:45:00,Let's do some time of day math. 5 hours and 45 minutes after 11:15 is,2025-05-19 17:00:00,17,0,17:00
03:15:00,3:15,0 days 09:00:00,Let's do some time of day math. 9 hours after 3:15 is,2025-05-19 12:15:00,12,15,12:15
12:45:00,12:45,0 days 08:00:00,Let's do some time of day math. 8 hours after 12:45 is,2025-05-19 20:45:00,20,45,20:45
01:30:00,1:30,-1 days +20:30:00,Let's do some time of day math. 4 hours and 30 minutes before 1:30 is,2025-05-18 22:00:00,22,0,22:00
08:45:00,8:45,0 days 00:15:00,Let's do some time of day math. 15 minutes after 8:45 is,2025-05-19 09:00:00,9,0,9:00
14:30:00,14:30,-1 days +16:45:00,Let's do some time of day math. 8 hours and 45 minutes before 14:30 is,2025-05-19 07:15:00,7,15,7:15
03:15:00,3:15,0 days 03:30:00,Let's do some time of day math. 3 hours and 30 minutes after 3:15 is,2025-05-19 06:45:00,6,45,6:45
14:30:00,14:30,0 days 04:45:00,Let's do some time of day math. 4 hours and 45 minutes after 14:30 is,2025-05-19 19:15:00,19,15,19:15
04:00:00,4:00,0 days 01:30:00,Let's do some time of day math. 1 hour and 30 minutes after 4:00 is,2025-05-19 05:30:00,5,30,5:30
20:15:00,20:15,-1 days +22:30:00,Let's do some time of day math. 2 hours and 30 minutes before 20:15 is,2025-05-19 18:45:00,18,45,18:45
20:15:00,20:15,-1 days +18:30:00,Let's do some time of day math. 6 hours and 30 minutes before 20:15 is,2025-05-19 14:45:00,14,45,14:45
03:30:00,3:30,-1 days +15:15:00,Let's do some time of day math. 9 hours and 15 minutes before 3:30 is,2025-05-18 18:45:00,18,45,18:45
05:15:00,5:15,-1 days +14:15:00,Let's do some time of day math. 10 hours and 15 minutes before 5:15 is,2025-05-18 19:30:00,19,30,19:30
20:45:00,20:45,-1 days +21:00:00,Let's do some time of day math. 3 hours before 20:45 is,2025-05-19 17:45:00,17,45,17:45
19:45:00,19:45,0 days 02:45:00,Let's do some time of day math. 2 hours and 45 minutes after 19:45 is,2025-05-19 22:30:00,22,30,22:30
16:30:00,16:30,0 days 10:30:00,Let's do some time of day math. 10 hours and 30 minutes after 16:30 is,2025-05-20 03:00:00,3,0,3:00
00:00:00,00:00,-1 days +17:15:00,Let's do some time of day math. 7 hours and 15 minutes before 00:00 is,2025-05-18 17:15:00,17,15,17:15
09:00:00,9:00,-1 days +18:30:00,Let's do some time of day math. 6 hours and 30 minutes before 9:00 is,2025-05-19 03:30:00,3,30,3:30
02:45:00,2:45,-1 days +12:45:00,Let's do some time of day math. 12 hours and 45 minutes before 2:45 is,2025-05-18 15:30:00,15,30,15:30
12:00:00,12:00,-1 days +12:15:00,Let's do some time of day math. 12 hours and 15 minutes before 12:00 is,2025-05-19 00:15:00,0,15,00:15
04:00:00,4:00,0 days 09:15:00,Let's do some time of day math. 9 hours and 15 minutes after 4:00 is,2025-05-19 13:15:00,13,15,13:15
19:30:00,19:30,0 days 07:30:00,Let's do some time of day math. 7 hours and 30 minutes after 19:30 is,2025-05-20 03:00:00,3,0,3:00
06:30:00,6:30,0 days 10:30:00,Let's do some time of day math. 10 hours and 30 minutes after 6:30 is,2025-05-19 17:00:00,17,0,17:00
03:30:00,3:30,-1 days +18:45:00,Let's do some time of day math. 6 hours and 45 minutes before 3:30 is,2025-05-18 22:15:00,22,15,22:15
03:45:00,3:45,-1 days +21:30:00,Let's do some time of day math. 3 hours and 30 minutes before 3:45 is,2025-05-19 01:15:00,1,15,1:15
21:00:00,21:00,-1 days +21:45:00,Let's do some time of day math. 3 hours and 45 minutes before 21:00 is,2025-05-19 18:45:00,18,45,18:45
22:30:00,22:30,-1 days +14:00:00,Let's do some time of day math. 10 hours before 22:30 is,2025-05-19 12:30:00,12,30,12:30
16:15:00,16:15,-1 days +18:45:00,Let's do some time of day math. 6 hours and 45 minutes before 16:15 is,2025-05-19 11:00:00,11,0,11:00
21:45:00,21:45,0 days 00:15:00,Let's do some time of day math. 15 minutes after 21:45 is,2025-05-19 22:00:00,22,0,22:00
20:45:00,20:45,0 days 08:45:00,Let's do some time of day math. 8 hours and 45 minutes after 20:45 is,2025-05-20 05:30:00,5,30,5:30
12:30:00,12:30,-1 days +23:00:00,Let's do some time of day math. 1 hour before 12:30 is,2025-05-19 11:30:00,11,30,11:30
13:15:00,13:15,0 days 12:30:00,Let's do some time of day math. 12 hours and 30 minutes after 13:15 is,2025-05-20 01:45:00,1,45,1:45
22:45:00,22:45,-1 days +22:00:00,Let's do some time of day math. 2 hours before 22:45 is,2025-05-19 20:45:00,20,45,20:45
20:00:00,20:00,-1 days +19:45:00,Let's do some time of day math. 5 hours and 45 minutes before 20:00 is,2025-05-19 15:45:00,15,45,15:45
11:15:00,11:15,0 days 07:30:00,Let's do some time of day math. 7 hours and 30 minutes after 11:15 is,2025-05-19 18:45:00,18,45,18:45
