name_1,time_1,name_2,time_2,name_3,time_3,context,alternatives,correct_time,correct_time_expr,correct_answer,correct_phase,correct_phase_og,correct_phase_label,correct_phase_og_label,time_idx_start,time_idx_end
Alex,03:45:00,Blake,21:45:00,Hunter,21:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Alex drinks coffee at 3:45. Blake drinks coffee at 21:45. Hunter drinks coffee at 21:30. The only person that drinks coffee in the evening is","['Alex', 'Blake', 'Hunter']",03:45:00,3:45,Alex,evening,night,3,0,112,116
Jack,13:45:00,Brandon,09:00:00,Dallas,02:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jack wakes up at 13:45. Brandon wakes up at 9:00. Dallas wakes up at 2:15. The only person that wakes up in the afternoon is","['Jack', 'Brandon', 'Dallas']",02:15:00,2:15,Dallas,afternoon,night,2,0,159,163
Charlie,03:15:00,Ian,03:30:00,Andrew,09:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Charlie does some chores at 3:15. Ian does some chores at 3:30. Andrew does some chores at 9:45. The only person that does some chores in the night is","['Charlie', 'Ian', 'Andrew']",09:45:00,9:45,Andrew,night,morning,0,1,181,185
Fred,01:45:00,Frank,04:30:00,Jack,12:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Fred looks at social media at 1:45. Frank looks at social media at 4:30. Jack looks at social media at 12:00. The only person that looks at social media in the afternoon is","['Fred', 'Frank', 'Jack']",01:45:00,1:45,Fred,afternoon,night,2,0,120,124
Brandon,07:30:00,Michael,15:30:00,Peter,01:00:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Brandon rides a bike at 7:30. Michael rides a bike at 15:30. Peter rides a bike at 1:00. The only person that rides a bike in the evening is","['Brandon', 'Michael', 'Peter']",07:30:00,7:30,Brandon,evening,morning,3,1,114,118
Rachel,10:15:00,William,21:45:00,Emily,01:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Rachel tidies up the room at 10:15. William tidies up the room at 21:45. Emily tidies up the room at 1:30. The only person that tidies up the room in the night is","['Rachel', 'William', 'Emily']",10:15:00,10:15,Rachel,night,morning,0,1,119,124
Martin,17:45:00,John,06:15:00,Joy,14:15:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Martin calls their partner at 17:45. John calls their partner at 6:15. Joy calls their partner at 14:15. The only person that calls their partner in the morning is","['Martin', 'John', 'Joy']",17:45:00,17:45,Martin,morning,afternoon,1,2,120,125
Rachel,18:45:00,Andrew,20:30:00,Max,23:30:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Rachel rides a bike at 18:45. Andrew rides a bike at 20:30. Max rides a bike at 23:30. The only person that rides a bike in the afternoon is","['Rachel', 'Andrew', 'Max']",23:30:00,23:30,Max,afternoon,evening,2,3,170,175
Luke,08:30:00,Dean,10:15:00,Alex,16:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Luke rides a bike at 8:30. Dean rides a bike at 10:15. Alex rides a bike at 16:45. The only person that rides a bike in the evening is","['Luke', 'Dean', 'Alex']",08:30:00,8:30,Luke,evening,morning,3,1,111,115
Jason,02:00:00,Robert,06:15:00,Martin,03:45:00,"The following events take place on Earth2, where night occurs from 9:00-17:00 everywhere. Jason goes for a run at 2:00. Robert goes for a run at 6:15. Martin goes for a run at 3:45. The only person that goes for a run in the afternoon is","['Jason', 'Robert', 'Martin']",02:00:00,2:00,Jason,afternoon,night,2,0,114,118
