name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_og_season,correct_og_season_label,correct_answer
George,2019-08-16,Joy,2019-08-11,Leon,2019-03-02,"['George', 'Joy', 'Leon']",The following events take place in the southern hemisphere. George renovated the kitchen on the 16th of August. Joy renovated the kitchen on the 11th of August. Leon renovated the kitchen on the 2nd of March. The only person that renovated the kitchen in summer is,2019-03-02,2nd of March,summer,2,winter,0,Leon
Jerry,2019-09-14,Aaron,2019-11-20,Jason,2019-08-30,"['Jerry', 'Aaron', 'Jason']",The following events take place in the southern hemisphere. Jerry ironed the clothes on the 14th of September. Aaron ironed the clothes on the 20th of November. Jason ironed the clothes on the 30th of August. The only person that ironed the clothes in spring is,2019-11-20,20th of November,spring,1,fall,3,Aaron
Hunter,2019-07-11,John,2019-04-05,George,2019-04-15,"['Hunter', 'John', 'George']",The following events take place in the southern hemisphere. Hunter had a barbecue on the 11th of July. John had a barbecue on the 5th of April. George had a barbecue on the 15th of April. The only person that had a barbecue in winter is,2019-07-11,11th of July,winter,0,summer,2,Hunter
Rose,2019-08-17,Joy,2019-06-27,Matt,2019-02-28,"['Rose', 'Joy', 'Matt']",The following events take place in the southern hemisphere. Rose planted a tree on the 17th of August. Joy planted a tree on the 27th of June. Matt planted a tree on the 28th of February. The only person that planted a tree in summer is,2019-02-28,28th of February,summer,2,winter,0,Matt
Kevin,2019-08-09,Jack,2019-11-21,Rachel,2019-08-12,"['Kevin', 'Jack', 'Rachel']",The following events take place in the southern hemisphere. Kevin went to the cinema on the 9th of August. Jack went to the cinema on the 21st of November. Rachel went to the cinema on the 12th of August. The only person that went to the cinema in spring is,2019-11-21,21st of November,spring,1,fall,3,Jack
Frank,2019-02-18,Matt,2019-06-18,Marco,2019-09-07,"['Frank', 'Matt', 'Marco']",The following events take place in the southern hemisphere. Frank went fishing on the 18th of February. Matt went fishing on the 18th of June. Marco went fishing on the 7th of September. The only person that went fishing in summer is,2019-02-18,18th of February,summer,2,winter,0,Frank
Robert,2019-11-16,Rachel,2019-05-02,Emily,2019-09-22,"['Robert', 'Rachel', 'Emily']",The following events take place in the southern hemisphere. Robert went to a concert on the 16th of November. Rachel went to a concert on the 2nd of May. Emily went to a concert on the 22nd of September. The only person that went to a concert in spring is,2019-11-16,16th of November,spring,1,fall,3,Robert
Charlie,2019-05-19,Mark,2019-10-20,Walker,2019-11-11,"['Charlie', 'Mark', 'Walker']",The following events take place in the southern hemisphere. Charlie had a picnic on the 19th of May. Mark had a picnic on the 20th of October. Walker had a picnic on the 11th of November. The only person that had a picnic in fall is,2019-05-19,19th of May,fall,3,spring,1,Charlie
Ian,2019-04-04,Kyle,2019-05-16,Marco,2019-01-21,"['Ian', 'Kyle', 'Marco']",The following events take place in the southern hemisphere. Ian played beer pong on the 4th of April. Kyle played beer pong on the 16th of May. Marco played beer pong on the 21st of January. The only person that played beer pong in summer is,2019-01-21,21st of January,summer,2,winter,0,Marco
Ian,2019-11-23,Connor,2019-11-24,April,2019-09-09,"['Ian', 'Connor', 'April']",The following events take place in the southern hemisphere. Ian attended a graduation on the 23rd of November. Connor attended a graduation on the 24th of November. April attended a graduation on the 9th of September. The only person that attended a graduation in winter is,2019-09-09,9th of September,winter,0,summer,2,April
