name_1,date_1,name_2,date_2,name_3,date_3,alternatives,context,correct_date,correct_date_str,correct_season,correct_season_label,correct_answer
Ryan,2019-10-03,Neil,2019-06-12,Matt,2019-10-06,"['Ryan', 'Neil', 'Matt']",Ryan arrived in Spain on the 3rd of October. Neil arrived in Spain on the 12th of June. Matt arrived in Spain on the 6th of October. The only person that arrived in Spain in spring is,2019-06-12,12th of June,spring,1,Neil
Walker,2019-11-05,Blake,2019-03-23,Ryan,2019-03-03,"['Walker', 'Blake', 'Ryan']",Walker painted a mural on the 5th of November. Blake painted a mural on the 23rd of March. Ryan painted a mural on the 3rd of March. The only person that painted a mural in fall is,2019-11-05,5th of November,fall,3,Walker
Steve,2019-03-04,Brandon,2019-06-06,Neil,2019-05-27,"['Steve', 'Brandon', 'Neil']",Steve cleaned the windows on the 4th of March. Brandon cleaned the windows on the 6th of June. Neil cleaned the windows on the 27th of May. The only person that cleaned the windows in winter is,2019-03-04,4th of March,winter,0,Steve
Hunter,2019-11-10,Jerry,2019-10-01,Steve,2019-02-09,"['Hunter', 'Jerry', 'Steve']",Hunter reorganized the closet on the 10th of November. Jerry reorganized the closet on the 1st of October. Steve reorganized the closet on the 9th of February. The only person that reorganized the closet in winter is,2019-02-09,9th of February,winter,0,Steve
Marco,2019-04-21,Charlie,2019-02-06,Richard,2019-07-04,"['Marco', 'Charlie', 'Richard']",Marco reorganized the closet on the 21st of April. Charlie reorganized the closet on the 6th of February. Richard reorganized the closet on the 4th of July. The only person that reorganized the closet in spring is,2019-04-21,21st of April,spring,1,Marco
Neil,2019-05-27,Ryan,2019-04-06,Joy,2019-11-17,"['Neil', 'Ryan', 'Joy']",Neil visited their family on the 27th of May. Ryan visited their family on the 6th of April. Joy visited their family on the 17th of November. The only person that visited their family in fall is,2019-11-17,17th of November,fall,3,Joy
William,2019-09-15,Steve,2019-01-28,Dean,2019-04-23,"['William', 'Steve', 'Dean']",William moved to a new city on the 15th of September. Steve moved to a new city on the 28th of January. Dean moved to a new city on the 23rd of April. The only person that moved to a new city in summer is,2019-09-15,15th of September,summer,2,William
John,2019-08-14,Luke,2019-04-10,Fred,2019-12-11,"['John', 'Luke', 'Fred']",John donated blood on the 14th of August. Luke donated blood on the 10th of April. Fred donated blood on the 11th of December. The only person that donated blood in summer is,2019-08-14,14th of August,summer,2,John
Brandon,2019-06-06,Rachel,2019-03-03,Alex,2019-05-12,"['Brandon', 'Rachel', 'Alex']",Brandon went to a Mexican restaurant on the 6th of June. Rachel went to a Mexican restaurant on the 3rd of March. Alex went to a Mexican restaurant on the 12th of May. The only person that went to a Mexican restaurant in winter is,2019-03-03,3rd of March,winter,0,Rachel
Andrew,2019-04-29,Walker,2019-09-20,Rose,2019-04-21,"['Andrew', 'Walker', 'Rose']",Andrew built a desktop computer on the 29th of April. Walker built a desktop computer on the 20th of September. Rose built a desktop computer on the 21st of April. The only person that built a desktop computer in summer is,2019-09-20,20th of September,summer,2,Walker
Emily,2019-02-20,Connor,2019-04-05,Tyler,2019-12-23,"['Emily', 'Connor', 'Tyler']",Emily went fishing on the 20th of February. Connor went fishing on the 5th of April. Tyler went fishing on the 23rd of December. The only person that went fishing in spring is,2019-04-05,5th of April,spring,1,Connor
Jack,2019-09-16,Peter,2019-09-28,Luke,2019-05-15,"['Jack', 'Peter', 'Luke']",Jack played chess on the 16th of September. Peter played chess on the 28th of September. Luke played chess on the 15th of May. The only person that played chess in summer is,2019-09-16,16th of September,summer,2,Jack
Brandon,2019-01-21,Rachel,2019-06-02,Robert,2019-02-13,"['Brandon', 'Rachel', 'Robert']",Brandon harvested a garden on the 21st of January. Rachel harvested a garden on the 2nd of June. Robert harvested a garden on the 13th of February. The only person that harvested a garden in spring is,2019-06-02,2nd of June,spring,1,Rachel
April,2019-05-02,Dean,2019-12-06,Rose,2019-03-16,"['April', 'Dean', 'Rose']",April arrived in Germany on the 2nd of May. Dean arrived in Germany on the 6th of December. Rose arrived in Germany on the 16th of March. The only person that arrived in Germany in spring is,2019-05-02,2nd of May,spring,1,April
Max,2019-06-30,Jerry,2019-12-25,Rachel,2019-10-17,"['Max', 'Jerry', 'Rachel']",Max arrived in the UK on the 30th of June. Jerry arrived in the UK on the 25th of December. Rachel arrived in the UK on the 17th of October. The only person that arrived in the UK in summer is,2019-06-30,30th of June,summer,2,Max
Emily,2019-07-16,Neil,2019-03-28,Jerry,2019-01-10,"['Emily', 'Neil', 'Jerry']",Emily threw a party on the 16th of July. Neil threw a party on the 28th of March. Jerry threw a party on the 10th of January. The only person that threw a party in summer is,2019-07-16,16th of July,summer,2,Emily
Scott,2019-12-24,Frank,2019-03-08,Connor,2019-05-29,"['Scott', 'Frank', 'Connor']",Scott went to the beach on the 24th of December. Frank went to the beach on the 8th of March. Connor went to the beach on the 29th of May. The only person that went to the beach in spring is,2019-05-29,29th of May,spring,1,Connor
John,2019-01-20,Alice,2019-07-19,Charlie,2019-03-24,"['John', 'Alice', 'Charlie']",John attended a wedding on the 20th of January. Alice attended a wedding on the 19th of July. Charlie attended a wedding on the 24th of March. The only person that attended a wedding in winter is,2019-01-20,20th of January,winter,0,John
